1.4452 1.1012 2.0361 2.3036 0.6526 1.3774 1.3241 1.5343 1.4171 2.2191 -1.0021 -1.1174 -1.1299 -0.6725 -1.1544 1
1.4609 1.2349 0.5986 0.6365 1.3819 -0.2939 -1.4905 -1.7944 -0.4674 -0.5166 0.4173 0.6550 1.3873 1.6394 2.2099 2
-0.9092 0.8537 -0.1851 -0.9922 0.0787 1.1224 0.1687 -0.5103 0.0916 0.1486 -1.0753 -1.5707 -0.5632 -1.4960 0.0871 1
-0.2851 0.2460 0.7903 0.5579 0.9051 1.0721 1.4503 0.1928 -0.8225 -0.7712 0.6059 -0.6755 1.5196 -0.0512 2.0166 2
0.4284 1.4262 0.3369 1.4046 0.8474 -2.1478 -0.6554 -0.7694 -0.6519 -1.1609 0.6482 0.7681 1.4565 0.4632 1.2154 1
-0.8695 -0.3621 -0.8122 -0.7097 -0.1491 -0.4069 -0.7570 -2.2074 -1.3875 -0.9294 -0.3334 -0.0278 1.0190 -0.4445 0.4140 2
1.0799 0.0510 -0.4068 -0.4871 -0.5538 -0.9720 -0.8366 -2.4615 -1.4656 -1.9727 0.3503 -0.7581 1.3188 -0.1848 -0.3533 1
-1.4431 -0.5150 0.4215 -0.4099 -0.9463 1.2801 0.2281 -0.2178 0.8228 0.3977 0.4624 0.7599 -1.0536 -0.7429 -0.3144 2
1.1736 0.7654 1.0303 1.4696 0.6787 0.8806 1.2074 1.2304 0.3675 1.5978 1.8905 2.0830 2.4041 1.2254 0.8638 1
2.5909 1.3428 1.6366 1.5666 1.2880 0.7957 -0.2398 1.1422 1.9571 0.4697 1.0093 0.8682 0.0808 -0.1704 0.6773 2
-0.2802 -0.2255 0.1519 0.2906 0.9958 0.7713 0.9274 0.1431 0.7183 0.1578 -1.0102 -0.0263 -0.8421 0.9443 -2.3416 1
-0.4354 -0.2482 -0.0713 -0.7071 -0.5708 0.3220 1.0069 1.0432 0.7579 0.7915 1.0118 0.6713 1.2044 1.2922 0.8190 2
